ID,displayId,name,status,priority,startDate,endDate,progress,owner_ID,shortDescription,longDescription
79e25af5-a8e9-4bbb-b940-34052e919550,PRJ-001,Website Redesign,Not Started,High,2026-01-01,2026-07-01,0,20903584-2613-4af8-9732-55b5359f18df,Dummy description for Website Redesign.,"Dummy description for Website Redesign. This assessment covers planning, execution, and closure activities across all involved teams, with periodic milestone reviews to track progress against the original scope."
374ba421-1d0a-431e-a10c-23384b85e379,PRJ-002,Mobile App Launch,In Progress,Medium,2026-02-01,2026-09-01,27,ef52dbc7-a607-498d-91c7-217ce627e4a2,Dummy description for Mobile App Launch.,"Dummy description for Mobile App Launch. This assessment covers planning, execution, and closure activities across all involved teams, with periodic milestone reviews to track progress against the original scope."
4eadabbb-8ced-4acb-af05-86bf976f4c37,PRJ-003,Data Migration,At Risk,Low,2026-03-01,2026-11-01,25,f570a437-2ca7-4a33-b6f9-e6886b499a2a,Dummy description for Data Migration.,"Dummy description for Data Migration. This assessment covers planning, execution, and closure activities across all involved teams, with periodic milestone reviews to track progress against the original scope."
30625db7-f52d-4d80-bffd-b077140bfdc0,PRJ-004,Customer Portal Upgrade,Completed,High,2026-04-01,2026-10-01,100,6e4f0bce-ba61-44f9-a124-b9a10448fb64,Dummy description for Customer Portal Upgrade.,"Dummy description for Customer Portal Upgrade. This assessment covers planning, execution, and closure activities across all involved teams, with periodic milestone reviews to track progress against the original scope."
8b3c0868-1e7c-4acb-95f6-b10a1c820c8b,PRJ-005,Internal HR System,Not Started,Medium,2026-05-01,2026-12-01,0,ea24f772-ed62-4341-970f-3bb4f3fdec8e,Dummy description for Internal HR System.,"Dummy description for Internal HR System. This assessment covers planning, execution, and closure activities across all involved teams, with periodic milestone reviews to track progress against the original scope."
c9c15080-22c6-4651-bfda-0934c4fd34bd,PRJ-006,Cloud Infrastructure Migration,In Progress,Low,2026-06-01,2027-02-01,55,5bba6bd6-cbeb-4c90-848f-133a5a51e21d,Overview of Cloud Infrastructure Migration.,"Dummy description for Cloud Infrastructure Migration. This assessment covers planning, execution, and closure activities across all involved teams, with periodic milestone reviews to track progress against the original scope."
6c6585be-0cdd-4451-a271-f203d247ee58,PRJ-007,Payment Gateway Integration,At Risk,High,2026-07-01,2027-01-01,45,5d1e26c8-50d5-472b-afb3-b4eab168475f,Dummy description for Payment Gateway Integration.,"Dummy description for Payment Gateway Integration. This assessment covers planning, execution, and closure activities across all involved teams, with periodic milestone reviews to track progress against the original scope."
6ae681a9-da70-41e6-b758-1ce4886d1f6d,PRJ-008,CRM Implementation,Completed,Medium,2026-08-01,2027-03-01,100,1f8c45fb-30f3-4a4d-bdc5-f67eb3612a87,Dummy description for CRM Implementation.,"Dummy description for CRM Implementation. This assessment covers planning, execution, and closure activities across all involved teams, with periodic milestone reviews to track progress against the original scope."
9ea36b12-15e7-4c11-b5b5-31165edd8fd0,PRJ-009,Inventory Management System,Not Started,Low,2026-09-01,2027-05-01,0,1c77242e-663c-4372-9390-daecbce6055f,Dummy description for Inventory Management System.,"Dummy description for Inventory Management System. This assessment covers planning, execution, and closure activities across all involved teams, with periodic milestone reviews to track progress against the original scope."
174ee3e0-0924-4bf5-af42-36fe9e668590,PRJ-010,Employee Onboarding Portal,In Progress,High,2026-10-01,2027-04-01,23,25fe4215-e07c-4ce0-886e-33b3c083677f,Dummy description for Employee Onboarding Portal.,"Dummy description for Employee Onboarding Portal. This assessment covers planning, execution, and closure activities across all involved teams, with periodic milestone reviews to track progress against the original scope."
f51fdf3b-a66c-4141-8aad-e27419cb4c43,PRJ-011,Marketing Automation Platform,At Risk,Medium,2026-11-01,2027-06-01,15,20903584-2613-4af8-9732-55b5359f18df,Overview of Marketing Automation Platform.,"Dummy description for Marketing Automation Platform. This assessment covers planning, execution, and closure activities across all involved teams, with periodic milestone reviews to track progress against the original scope."
0828e1b7-e4b1-4f3b-bff3-22b22b47c596,PRJ-012,Business Intelligence Dashboard,Completed,Low,2026-12-01,2027-08-01,100,ef52dbc7-a607-498d-91c7-217ce627e4a2,Overview of Business Intelligence Dashboard.,"Dummy description for Business Intelligence Dashboard. This assessment covers planning, execution, and closure activities across all involved teams, with periodic milestone reviews to track progress against the original scope."
d883b18e-e75b-4fdb-9125-37edd81d7bdf,PRJ-013,Supply Chain Optimization,Not Started,High,2026-01-01,2026-07-01,0,f570a437-2ca7-4a33-b6f9-e6886b499a2a,Dummy description for Supply Chain Optimization.,"Dummy description for Supply Chain Optimization. This assessment covers planning, execution, and closure activities across all involved teams, with periodic milestone reviews to track progress against the original scope."
10e83e10-43b8-4726-849d-1bbc0c49bfff,PRJ-014,E-Commerce Platform Revamp,In Progress,Medium,2026-02-01,2026-09-01,51,6e4f0bce-ba61-44f9-a124-b9a10448fb64,Dummy description for E-Commerce Platform Revamp.,"Dummy description for E-Commerce Platform Revamp. This assessment covers planning, execution, and closure activities across all involved teams, with periodic milestone reviews to track progress against the original scope."
4dafd3ab-4f03-4823-b52d-ef1abc594e8a,PRJ-015,Security Compliance Audit,At Risk,Low,2026-03-01,2026-11-01,35,ea24f772-ed62-4341-970f-3bb4f3fdec8e,Dummy description for Security Compliance Audit.,"Dummy description for Security Compliance Audit. This assessment covers planning, execution, and closure activities across all involved teams, with periodic milestone reviews to track progress against the original scope."
0cbeb7a5-ea93-44bf-895c-17919be94714,PRJ-016,API Gateway Modernization,Completed,High,2026-04-01,2026-10-01,100,5bba6bd6-cbeb-4c90-848f-133a5a51e21d,Dummy description for API Gateway Modernization.,"Dummy description for API Gateway Modernization. This assessment covers planning, execution, and closure activities across all involved teams, with periodic milestone reviews to track progress against the original scope."
b4459385-7b69-4da2-a0af-324653f7fb24,PRJ-017,Warehouse Management System,Not Started,Medium,2026-05-01,2026-12-01,0,5d1e26c8-50d5-472b-afb3-b4eab168475f,Dummy description for Warehouse Management System.,"Dummy description for Warehouse Management System. This assessment covers planning, execution, and closure activities across all involved teams, with periodic milestone reviews to track progress against the original scope."
